Título|Año publicación|Tema|Tags|Sinopsis|Ilustrador|Género ilustrador|Descripción ilustrador|Escritor|Género escritor|Descripción escritor|Editorial|Tipo de editorial|Descripción editorial|Ciudad
La mujer de la guarda|2016|Muerte|Soledad, Pérdida, Diferencia, Duelo, Luto, Tradición, Madre, Hija, Niña, Frontera ilustrada|Jacinta quiere saber cómo hará su mamá para respirar dentro del ataúd y sus tías le dicen que mejor vaya a cuidar a sus hermanos. Jacinta recuerda de su madre el sonido de la cuchara golpeando contra el vaso cuando revolvía la leche hasta dejarla sin grumos. Jacinta ríe con sus hermanos y su papá cuando él puede llegar temprano del trabajo y comen juntos y al final él les saca de las orejas chicles y caramelos. Jacinta es un bicho raro en un mundo donde los demás niños tienen madre. Jacinta no tiene un ángel de la guarda pero una mujer que viaja en un caballo azul vela por ella. \nPremio New Horizons 2017 / Los mejores del Banco del Libro de Venezuela 2017\n Fragmento de: Asociación Colombiana de Literatura Infantil y Juvenil – ACLIJ. LIJ COLOMBIA 2015-2018. Libros infantiles y juveniles editados en Colombia. iBooks.|Alejandra Acosta|Mujer|Alejandra Acosta, diseñadora e ilustradora chilena, autora de libros y profesora universitaria. Ha sido seleccionada en la Lista de Honor IBBY 2016 con su libro Pajarario. Ha ganado la Medalla Colibrí de IBBY Chile por Ilustración en 2015, 2013 y 2012 con los libros Pajarario (Quilombo), El Árbol (Pehuén)  y Aventuras y orígenes de los pájaros (Catalonia). Ha sido finalista en los concursos internacionales de álbum ilustrado de las editoriales Kalandraka, Nostra y Fondo de Cultura Económica.\nTomado de: www.alejandraacosta.com/about-me|Sara Bertrand|Mujer|Sara Bertrand nació en Chile en 1970. Estudió Historia y Periodismo en la Universidad Católica de Chile. Colabora en para Cultura y Artes y Letras en el diario El Mercurio y es integrante de su Consejo de Lectura. \nEn 2007 ganó una beca de creación literaria del Fondo del Libro. \nEscribe mensualmente para la revista de Fundación La Fuente. Ganó el Premio New Horizons Bologna Ragazzi Award 2017 con su libro La mujer de la guarda (2016); el premio Banco del libro de Venezuela 2016 con Cuando los peces se fueron volando (2015); el concurso Alimón de Tragaluz editores con Nuestro gordo (2015); la beca de creación literaria del Consejo Nacional de la Cultura y las Artes con Cuentos Inoxidables, y la beca de la Fundación Nuevo Periodismo Iberoamericano con Los acordes del mandinga.\nTomado de: https://www.escritores.org/biografias/21943-bertrand-sara|Babel Libros|Independiente|Babel Libros empezó en 2001 en Bogotá como distribuidora y librería, con la arquitecta María Osorio encabezando el proyecto. En 2005 se amplió el proyecto con su propio sello editorial. Se han destacado por hacer libros con tiempo, dedicación y cuidado, tienen un amplio catálogo, no solo de libro álbum, también ofrecen libros para jóvenes. Babel recibió en la Feria del Libro de Boloña el premio BOP para la Mejor Editorial Infantil y Juvenil en América Latina (Centro y Sur América). \nPágina web: babellibros.com.co/|Bogotá
Los ahogados|2017|Desapariciones|Argentina, Dictadura, Historia, Violnecia, Frontera ilustrada, Pareja|Enmarcado en la Argentina de la dictadura, Los ahogados nos pone sutilmente frente al cruel tema de la desaparición forzada de personas. Y como los buenos cuentos, informa solo a chispazos sobre los antecedentes de la situación, a la vez que nos instala en una atmósfera brumosa, salpicada con evocaciones de días más plácidos. Una musicalidad íntima acompaña el desgarramiento vital de una joven pareja que, arrastrada al desarraigo de sus espacios y sus afectos, va descubriendo angustiosamente que podría tener el mismo final brutal de otros que también se opusieron al régimen.\nDestacado ALIJA, Argentina 2017\nFragmento de: Asociación Colombiana de Literatura Infantil y Juvenil – ACLIJ. “LIJ COLOMBIA 2015-2018. Libros infantiles y juveniles editados en Colombia”. iBooks. |Daniel Rabanal|Hombre|Nació en Buenos Aires en 1949. Trabajó en el periodismo en los años setenta, trabajo que alternó con la ilustración hasta que a partir de la década de 1980 se dedicó exclusivamente a ella y a la historieta. Tiene ilustrados más de cincuenta libros de literatura infantil y juvenil de diversos autores como María Elena Walsh, Beatriz Ferro, Yolanda Reyes e Irene Vasco entre otros y cinco de su autoría. Como historietista publicó sus trabajos en diversos medios de Argentina, Colombia e Italia. En este último país recibió en 1996 el premio Yambo en el Festival de Lucca, por su historieta Las aventuras de Gato publicada en El Espectador de Bogotá y en 1987 fue seleccionado para la muestra oficial de la Feria de Bologna. Más información en: http://danielrabanal.blogspot.com.ar/\nTomado de: https://lugareditorial.com.ar/autor.php?id_aut=48&autor=Daniel%20Rabanal|María Teresa Andruetto|Mujer|María Teresa Andruetto nació en Arroyo Cabral, Córdoba, Argentina, el 26 de enero de 1954. Ha publicado las novelas: Publicó las novelas Tama (2003), La mujer en cuestión (2009) y Lengua Madre (2010), las nouvelles Stefano (2001), Veladuras (2005) y La niña, el corazón y la casa (2011), el libro de cuentos Todo movimiento es cacería (2012), los poemarios Palabras al rescoldo (1993), Pavese (1998), Kodak (2001) y Beatriz (2005), Pavese/Kodak (2008), Tendedero (2010) y Sueño Americano (2009), pero en su producción destaca sobre todo su obra para público infantil y juvenil, entre los que destacan: El anillo encantado (1993), Huellas en la arena (1998), La mujer vampiro (2001), El País de Juan (2005), El árbol de lilas (2006), Trenes (2009), El incendio (2009), Campeón (2010), La durmiente (2010), Solgo (2011) y Miniaturas (2011).\nRecibió en 2012 el premio Hans Christian Andersen, otorgado por IBBY.\nCodirige una colección de narradoras argentinas en la Editorial Universitaria EDUVIM.\nTomado de: https://www.escritores.org/biografias/15880-andruetto-maria-teresa|Babel Libros|Independiente|Babel Libros empezó en 2001 en Bogotá como distribuidora y librería, con la arquitecta María Osorio encabezando el proyecto. En 2005 se amplió el proyecto con su propio sello editorial. Se han destacado por hacer libros con tiempo, dedicación y cuidado, tienen un amplio catálogo, no solo de libro álbum, también ofrecen libros para jóvenes. Babel recibió en la Feria del Libro de Boloña el premio BOP para la Mejor Editorial Infantil y Juvenil en América Latina (Centro y Sur América). \nPágina web: babellibros.com.co/|Bogotá
Los caminos del juglar|2018|Narraciones|Hostorias, Juglar, Narraciones, Edad Media, Aventuras|Un joven juglar, siempre acompañado de su laúd, viaja de aldea en aldea por la España de finales de la Edad Media. Dondequiera que llega, los pobladores se reúnen a su alrededor para escucharlo, ávidos de noticias, de historias, de relatos de hazañas y de amores. Unos nuevos poemas cantados por todos, los romances, se desprenden poco a poco de su contacto con los oyentes. Pero este cantor ambulante no sólo cuenta aventuras ajenas, también vive algunas en su largo recorrido. Su espíritu curioso lo lleva finalmente hasta el mar, a un puerto donde tal vez se embarque hacia nuevos mundos, con sus cantares como único equipaje.\nFragmento de: Asociación Colombiana de Literatura Infantil y Juvenil – ACLIJ. “LIJ COLOMBIA 2015-2018. Libros infantiles y juveniles editados en Colombia”. iBooks. |Daniel Rabanal|Hombre|Nació en Buenos Aires en 1949. Trabajó en el periodismo en los años setenta, trabajo que alternó con la ilustración hasta que a partir de la década de 1980 se dedicó exclusivamente a ella y a la historieta. Tiene ilustrados más de cincuenta libros de literatura infantil y juvenil de diversos autores como María Elena Walsh, Beatriz Ferro, Yolanda Reyes e Irene Vasco entre otros y cinco de su autoría. Como historietista publicó sus trabajos en diversos medios de Argentina, Colombia e Italia. En este último país recibió en 1996 el premio Yambo en el Festival de Lucca, por su historieta Las aventuras de Gato publicada en El Espectador de Bogotá y en 1987 fue seleccionado para la muestra oficial de la Feria de Bologna. Más información en: http://danielrabanal.blogspot.com.ar/\nTomado de: https://lugareditorial.com.ar/autor.php?id_aut=48&autor=Daniel%20Rabanal|Daniel Rabanal|Hombre|Nació en Buenos Aires en 1949. Trabajó en el periodismo en los años setenta, trabajo que alternó con la ilustración hasta que a partir de la década de 1980 se dedicó exclusivamente a ella y a la historieta. Tiene ilustrados más de cincuenta libros de literatura infantil y juvenil de diversos autores como María Elena Walsh, Beatriz Ferro, Yolanda Reyes e Irene Vasco entre otros y cinco de su autoría. Como historietista publicó sus trabajos en diversos medios de Argentina, Colombia e Italia. En este último país recibió en 1996 el premio Yambo en el Festival de Lucca, por su historieta Las aventuras de Gato publicada en El Espectador de Bogotá y en 1987 fue seleccionado para la muestra oficial de la Feria de Bologna. Más información en: http://danielrabanal.blogspot.com.ar/\nTomado de: https://lugareditorial.com.ar/autor.php?id_aut=48&autor=Daniel%20Rabanal|Babel Libros|Independiente|Babel Libros empezó en 2001 en Bogotá como distribuidora y librería, con la arquitecta María Osorio encabezando el proyecto. En 2005 se amplió el proyecto con su propio sello editorial. Se han destacado por hacer libros con tiempo, dedicación y cuidado, tienen un amplio catálogo, no solo de libro álbum, también ofrecen libros para jóvenes. Babel recibió en la Feria del Libro de Boloña el premio BOP para la Mejor Editorial Infantil y Juvenil en América Latina (Centro y Sur América). \nPágina web: babellibros.com.co/|Bogotá
Los irlandeses|2017|Guerra|Soldado, Guerras, HIstoria, España, Ejército, Frontera ilustrada|En los tiempos más aciagos y violentos de las guerras de independencia en la Nueva Granada, un joven soldado llanero se extravía solo en un páramo hostil y desconocido. En medio de la desesperación y el hambre logra encontrar a un grupo de mercenarios irlandeses que se han rezagado de las tropas patriotas cuando cruzaban la helada cordillera desde los llanos. Juntos buscan escapar de un laberinto interminable que parece atraparlos para siempre y alcanzar al grueso de la tropa libertadora. Venciendo las adversidades de la naturaleza y la permanente amenaza de las milicias españolas, avanzan juntos en medio de la neblina, descubriendo las miserias de la guerra, el valor y los lazos humanos que se crean en los momentos de decisión.\nBeca Mincultura para Libro Ilustrado 2017 / Los mejores del Banco del Libro de Venezuela 2017\nFragmento de: Asociación Colombiana de Literatura Infantil y Juvenil – ACLIJ. “LIJ COLOMBIA 2015-2018. Libros infantiles y juveniles editados en Colombia”. iBooks. |Santiago Guevara|Hombre|Nació en Colombia en 1990. Es ilustrador y diseñador gráfico. Su trabajo ha sido publicado en revistas y periódicos dentro y fuera de Colombia, destacándose sus habituales colaboraciones para El Malpensante. Ha ilustrado libros como ‘Corazón de León’ de Antonio Ungar (Babel Libros), ‘Soy Asesino y Padre de Familia’ de Fabio Rubiano (Seix Barral) y ‘Los 16 Motivos del Lobo’ de Amalia Moreno (Cardumen Libros), entre otros. Su novela gráfica ‘Gestos de Mala Educación’ en coautoría con Raúl Piamonte recibió la Beca Cómic/Novela Gráfica de la FUGA en 2016. Actualmente hace parte del equipo de ilustración de Magic Markers, es catedrático de la Facultad de Artes de la Universidad Javeriana en Bogotá y adelanta su siguiente libro ilustrado con Babel Libros.\nTomado de: www.talleresliebrelunar.com/sobre-nosotros/nuestros-talleristas/santiago-guevara/|Jairo Buitrago|Hombre|Escritor de libros álbum para niños, ilustrador e investigador de temas cinematográficos. Ha publicado los siguientes libros ilustrados : El señor L.Fante (2006), Emiliano (2007), Camino a Casa (2008), Eloísa y los bichos (2009), El Primer día (2010), Jimmy el más grande (2010), Cuentos desobedientes (2012), ¿Qué puedo decirte de los fantasmas? (2013), El mar (2014) y El Niño en el hotel al borde de la carretera ( 2014) y las novelas Las pesquisas comenzaron en Baker Street (2010) y Días de rock de garaje (2012). En el 2007 fue el ganador del 11 concurso de álbum Ilustrado A la Orilla del Viento del Fondo de Cultura Económica de México con Camino a Casa que igualmente fue seleccionado por la Lista de Honor del IBBY. 2010 Ha sido guionista de programas infantiles y trabaja en talleres de literatura y cine para niños y adultos.\nTomado de jairo-buitrago.blogspot.com/|Babel Libros|Independiente|Babel Libros empezó en 2001 en Bogotá como distribuidora y librería, con la arquitecta María Osorio encabezando el proyecto. En 2005 se amplió el proyecto con su propio sello editorial. Se han destacado por hacer libros con tiempo, dedicación y cuidado, tienen un amplio catálogo, no solo de libro álbum, también ofrecen libros para jóvenes. Babel recibió en la Feria del Libro de Boloña el premio BOP para la Mejor Editorial Infantil y Juvenil en América Latina (Centro y Sur América). \nPágina web: babellibros.com.co/|Bogotá
Adiós|2016|Nostalgia|Poesía, Tradición, Paisaje, Nostalgia |“Este libro álbum parte de un poema que recrea la alegría de un personaje de la costa que, después de una temporada alejado de su hogar, se prepara para volver. El poeta compara aquellas cosas que más le gustan de su tierra (en especial el mar, que es su leit motiv) con las que hay en la ciudad andina en la que se encuentra. A este texto lo acompañan imágenes nostálgicas y algo surreales que, paralelo al poema, sugieren “otra historia, otra lectura del poema. Esta edición además el poema en lengua vernácula.\nLista The White Ravens 2017 / Beca Libro Ilustrado Ministerio de Cultura de Colombia 2016\nFragmento de: Asociación Colombiana de Literatura Infantil y Juvenil – ACLIJ. “LIJ COLOMBIA 2015-2018. Libros infantiles y juveniles editados en Colombia”. iBooks. |Juan Camilo Mayorga|Hombre|Juan Camilo Mayorga nació en Bogotá. Es diseñador gráfico egresado de la Universidad Nacional de Colombia, donde se desarrolló en la especialidad de ilustración y arte. A pesar de su corta edad, su trabajo trasciende las fronteras de Colombia.\nTomado de: www.cataplumlibros.com/?q=node/9|Candelario Obeso|Hombre|Candelario Obeso nació en Mompox, Colombia. Fue un importante poeta que escribió en dialecto. Se le considera precursor de la poesía negra en Latinoamérica. Este texto es el primero de su autoría que se publica para niños. \nTomado de: www.cataplumlibros.com/?q=node/10|Cataplúm|Independiente|Los buenos libros son como mansos animales que se desperezan cuando les acariciamos el lomo y nos muestran su panza para invitarnos al juego, mas no dudan en darnos un buen mordisco para hacernos salir de las garras de la cotidianidad. \n\nPara crear estas nobles criaturas, en Cataplum escarbamos como los topos en la memoria colectiva y exploramos en las raíces que nos conectan como latinoamericanos y recuperar así la tradición oral, el juego y sus diversas e inagotables posibilidades. Como los cerdos buscadores de trufas, desarrollamos un fino olfato para conseguir textos de autores de ayer y de hoy. Como los conejos saltamos de aquí para allá, rastreando ilustradores con novedosas propuestas y, como las águilas, hacemos el esfuerzo de ver desde la distancia cómo pueden convivir texto e imagen armoniosamente. \n\nNuestro catálogo, entonces, está concebido como una criatura viva, que empezó pequeñita como las crías de oso, pero con el potencial para alcanzar un gran tamaño y transformarse en una criatura fabulosa, de esas que combinan las mejores cualidades de nobles animales y tienen el poder de encantar. \nTomado de: www.cataplumlibros.com/|Bogotá
Cuando el mundo era así|2016|Animales|Tradición oral, Animales, Imaginación|Este libro compila relatos de personajes que provienen de la tradición oral latinoamericana y otros producto de la imaginación del autor, desde su visión de cómo debió haber sido el mundo si solo hubiera sido habitado por animales. Así, través del humor, la picardía y el ingenio al que ya nos tiene acostumbrados Triunfo Arciniegas y la tradición oral, se dan situaciones sui géneris en la que Tío Conejo, Tío Tigre, Tío Coyote y Tío Zorro, entre otros, hacen de las suyas.\nAltamente recomendado por Fundalectura 2018”\nFragmento de: Asociación Colombiana de Literatura Infantil y Juvenil – ACLIJ. “LIJ COLOMBIA 2015-2018. Libros infantiles y juveniles editados en Colombia”. iBooks. |Álvaro Sánchez|Hombre|Álvaro Sánchez nació en Mompox, Colombia. Trabajó como coordinador de proyectos en la Fundación Rafael Pombo, donde también impartió talleres de arte a niños y jóvenes. Fue profesor de pintura en el Liceo Juan Ramón Jiménez. Además de dedicarse a la pintura, es defensor de derechos humanos.\nTomado de: https://www.cataplumlibros.com/?q=node/25|Triunfo Arciniegas|Hombre|Triunfo Arciniegas nació en Málaga, Santander, en 1957. Es licenciado en Literatura y vive a la orilla del camino de niebla de Monteadentro, en las afueras de Pamplona. Escribe con insistencia sobre gatos, bandidos, ángeles, vampiros y otros monstruos amados, en tardes de lluvia para matar la nostalgia y en noches de luna llena para alejar las pesadillas.\nHa publicado entre otras obras: El cadáver del sol, En concierto, La silla que perdió una pata y otras historias, El león que escribía cartas de amor, La media perdida, La sombra de la negra, El gato y la luna. Con Las batallas de Rosalino obtuvo el VII Premio Enka de Literatura Infantil; con Caperucita Roja y otras historias, el Premio Comfamiliar del Atlántico; con La muchacha de Transilvania y otras historias de amor, el Premio Nacional de Literatura de Colcultura y con La negra y el diablo, el Primer Premio Parker de Literatura infantil en 2003. Dirige el teatro de niñas La Manzana Azul y talleres de literatura en distintas ciudades.\nTomado de: www.panamericanaeditorial.com.co/52_arciniegas-triunfo|Cataplúm|Independiente|Los buenos libros son como mansos animales que se desperezan cuando les acariciamos el lomo y nos muestran su panza para invitarnos al juego, mas no dudan en darnos un buen mordisco para hacernos salir de las garras de la cotidianidad. \n\nPara crear estas nobles criaturas, en Cataplum escarbamos como los topos en la memoria colectiva y exploramos en las raíces que nos conectan como latinoamericanos y recuperar así la tradición oral, el juego y sus diversas e inagotables posibilidades. Como los cerdos buscadores de trufas, desarrollamos un fino olfato para conseguir textos de autores de ayer y de hoy. Como los conejos saltamos de aquí para allá, rastreando ilustradores con novedosas propuestas y, como las águilas, hacemos el esfuerzo de ver desde la distancia cómo pueden convivir texto e imagen armoniosamente. \n\nNuestro catálogo, entonces, está concebido como una criatura viva, que empezó pequeñita como las crías de oso, pero con el potencial para alcanzar un gran tamaño y transformarse en una criatura fabulosa, de esas que combinan las mejores cualidades de nobles animales y tienen el poder de encantar. \nTomado de: www.cataplumlibros.com/|Bogotá
Cuando los peces se fueron volando|2018|Muerte|Duelo, Despedidas, Familia, |Esta es una historia que, a través de un lenguaje sutil y unas potentes imágenes, explora el dolor de la pérdida. Así, entre las nubes, los cerros y su blancura, se irán marchando primero el padre del protagonista, luego su mascota y finalmente su hermano. Las imágenes que estas partidas van dejando conforman un relato en el que no sobra nada. un relato donde cada frase y cada ilustración acompañan al lector sin recurrir al drama.”\nFragmento de: Asociación Colombiana de Literatura Infantil y Juvenil – ACLIJ. “LIJ COLOMBIA 2015-2018. Libros infantiles y juveniles editados en Colombia”. iBooks. |Francisco Javier Olea|Hombre|Francisco Javier Olea nació en Chile. Ganó el Premio Altazor de Chile (2012) en Diseño e Ilustración y tres premios MAGs por ilustraciones para El Mercurio. En 2013 recibió la Mención Honrosa en el concurso de libro-álbum A La Orilla del Viento del Fondo Económico de Cultura por el libro La vida sin Santi. \nTomado de: www.cataplumlibros.com/?q=node/22|Sara Bertrand|Mujer|Sara Bertrand nació en Chile en 1970. Estudió Historia y Periodismo en la Universidad Católica de Chile. Colabora en para Cultura y Artes y Letras en el diario El Mercurio y es integrante de su Consejo de Lectura. \nEn 2007 ganó una beca de creación literaria del Fondo del Libro. \nEscribe mensualmente para la revista de Fundación La Fuente. Ganó el Premio New Horizons Bologna Ragazzi Award 2017 con su libro La mujer de la guarda (2016); el premio Banco del libro de Venezuela 2016 con Cuando los peces se fueron volando (2015); el concurso Alimón de Tragaluz editores con Nuestro gordo (2015); la beca de creación literaria del Consejo Nacional de la Cultura y las Artes con Cuentos Inoxidables, y la beca de la Fundación Nuevo Periodismo Iberoamericano con Los acordes del mandinga.\nTomado de: https://www.escritores.org/biografias/21943-bertrand-sara|Cataplúm|Independiente|Los buenos libros son como mansos animales que se desperezan cuando les acariciamos el lomo y nos muestran su panza para invitarnos al juego, mas no dudan en darnos un buen mordisco para hacernos salir de las garras de la cotidianidad. \n\nPara crear estas nobles criaturas, en Cataplum escarbamos como los topos en la memoria colectiva y exploramos en las raíces que nos conectan como latinoamericanos y recuperar así la tradición oral, el juego y sus diversas e inagotables posibilidades. Como los cerdos buscadores de trufas, desarrollamos un fino olfato para conseguir textos de autores de ayer y de hoy. Como los conejos saltamos de aquí para allá, rastreando ilustradores con novedosas propuestas y, como las águilas, hacemos el esfuerzo de ver desde la distancia cómo pueden convivir texto e imagen armoniosamente. \n\nNuestro catálogo, entonces, está concebido como una criatura viva, que empezó pequeñita como las crías de oso, pero con el potencial para alcanzar un gran tamaño y transformarse en una criatura fabulosa, de esas que combinan las mejores cualidades de nobles animales y tienen el poder de encantar. \nTomado de: www.cataplumlibros.com/|Bogotá
Diccionadario|2017|Palabras|Juego, Palabras, Animales, Lenguaje, Imaginación, Humor|“A través de las páginas de este divertido libro ilustrado, se da vida a animales cuyos nombres nacen de la nada, del juego que el lenguaje tiene consigo mismo. Así, toda una nueva fauna se revela al lector, como el piablo, la largatija, el pizcado y el bobodrilo. Estos sugerentes personajes imaginarios son retratados por Powerpaola con mucho humor, en una serie de escenas que reinterpretan las ocurrencias del poeta y “le dan un giro que combina de maravilla la imagen con el juego de la palabra.\nAltamente recomendado por Fundalectura 2018”\nFragmento de: Asociación Colombiana de Literatura Infantil y Juvenil – ACLIJ. “LIJ COLOMBIA 2015-2018. Libros infantiles y juveniles editados en Colombia”. iBooks. |PowerPaola|Mujer|Powerpaola es conocida en varios países por sus trabajos con contenido gráfico cercanos al cómic, entre los que se destaca Virus Tropical, editado en tres tomos por La silueta, en donde cuenta el trayecto que va desde su concepción en Ecuador hasta su adolescencia en Colombia.\nTomado de: lagunalibros.com/2013/power-paola/|Darío Jaramillo Agudelo|Hombre|Darío Jaramillo Agudelo nació en Santa Rosa de Osos, Colombia. Es poeta, novelista y ensayista. El juego con el lenguaje es una constante que se evidencia en su obra. En 2017 fue galardonado con el Premio Nacional de Poesía de Colombia.\nTomado de: www.cataplumlibros.com/?q=node/29|Cataplúm|Independiente|Los buenos libros son como mansos animales que se desperezan cuando les acariciamos el lomo y nos muestran su panza para invitarnos al juego, mas no dudan en darnos un buen mordisco para hacernos salir de las garras de la cotidianidad. \n\nPara crear estas nobles criaturas, en Cataplum escarbamos como los topos en la memoria colectiva y exploramos en las raíces que nos conectan como latinoamericanos y recuperar así la tradición oral, el juego y sus diversas e inagotables posibilidades. Como los cerdos buscadores de trufas, desarrollamos un fino olfato para conseguir textos de autores de ayer y de hoy. Como los conejos saltamos de aquí para allá, rastreando ilustradores con novedosas propuestas y, como las águilas, hacemos el esfuerzo de ver desde la distancia cómo pueden convivir texto e imagen armoniosamente. \n\nNuestro catálogo, entonces, está concebido como una criatura viva, que empezó pequeñita como las crías de oso, pero con el potencial para alcanzar un gran tamaño y transformarse en una criatura fabulosa, de esas que combinan las mejores cualidades de nobles animales y tienen el poder de encantar. \nTomado de: www.cataplumlibros.com/|Bogotá
El príncipe moro y el pescadito de oro|2017|Aventura|Fantasía, Tradición oral, Venezuela, Príncipe, Hadas, Desobediencia, Castigo|Este poema cuenta la historia de un príncipe que pierde su reino y que tiene la oportunidad de recuperarlo gracias a un hada que lo protege. Pero, como no escucha sus consejos y es seducido por un hada mala, pierde la posibilidad de volver a su reino. Esta pieza tiene su origen en un compendio de textos inspirados en motivos de la tradición oral con los que Paz Castillo tuvo contacto en su infancia.\nAltamente recomendado por Fundalectura 2018.\nFragmento de: Asociación Colombiana de Literatura Infantil y Juvenil – ACLIJ. “LIJ COLOMBIA 2015-2018. Libros infantiles y juveniles editados en Colombia”. iBooks. |Jesús Cisneros|Hombre|Jesús Cisneros nació en Zaragoza, España. Estudió Ilustración en la Escuela de Artes de Zaragoza e Historia del Arte en la Universidad de la misma ciudad. Ha recibido varios premios, entre ellos el Lazarillo de ilustración en 2007 por el álbum Ramón.\nTomado de: www.cataplumlibros.com/?q=node/13|Fernando Paz Castillo|Hombre|Fernando Paz Castillo nació en Caracas. Cultivó fundamentalmente la crítica literaria y la poesía. Fue docente y diplomático, lo que le llevó a vivir 25 años en diversos países de América y Europa. Fue uno de los fundadores del Círculo de Bellas Artes y conformó la muy conocida generación del 18. En 1969 recibió el Premio Nacional de Poesía de Venezuela.\nTomado de: https://www.cataplumlibros.com/?q=node/12|Cataplúm|Independiente|Los buenos libros son como mansos animales que se desperezan cuando les acariciamos el lomo y nos muestran su panza para invitarnos al juego, mas no dudan en darnos un buen mordisco para hacernos salir de las garras de la cotidianidad. \n\nPara crear estas nobles criaturas, en Cataplum escarbamos como los topos en la memoria colectiva y exploramos en las raíces que nos conectan como latinoamericanos y recuperar así la tradición oral, el juego y sus diversas e inagotables posibilidades. Como los cerdos buscadores de trufas, desarrollamos un fino olfato para conseguir textos de autores de ayer y de hoy. Como los conejos saltamos de aquí para allá, rastreando ilustradores con novedosas propuestas y, como las águilas, hacemos el esfuerzo de ver desde la distancia cómo pueden convivir texto e imagen armoniosamente. \n\nNuestro catálogo, entonces, está concebido como una criatura viva, que empezó pequeñita como las crías de oso, pero con el potencial para alcanzar un gran tamaño y transformarse en una criatura fabulosa, de esas que combinan las mejores cualidades de nobles animales y tienen el poder de encantar. \nTomado de: www.cataplumlibros.com/|Bogotá
No se aburra|2016|Palabras|Juegos, Humor, Refranes, Humor, Compliación|Este muy divertido libro reúne juegos de palabras e ingenio. Fue publicado por primera vez en 2008, y con el tiempo se ha convertido en una referencia de la literatura infantil y juvenil latinoamericana. Ahora Cataplum Libros lo edita con nuevos textos, nuevas secciones, y un diseño y unas ilustraciones que proponen lecturas diversas de un clásico que aspira a entretener a lectores de todas las edades.\nFragmento de: Asociación Colombiana de Literatura Infantil y Juvenil – ACLIJ. “LIJ COLOMBIA 2015-2018. Libros infantiles y juveniles editados en Colombia”. iBooks. |Mateo Rivano|Hombre|Mateo Rivano nació en Bogotá. Es un artista plástico formado en Florencia (Italia) que combina varios lenguajes como la pintura, el collage, la animación y ahora la ilustración para jóvenes.\nTomado de: www.cataplumlibros.com/?q=node/28|Maité Dautant|Mujer|Maité Dautant nació en Caracas. Ha dedicado muchos años al estudio de los libros para niños y jóvenes. Trabajó en el Centro de Documentación del Banco del Libro, donde obtuvo el conocimiento sobre tradición oral que la ha llevado a realizar varias compilaciones. Es profesora universitaria, ensayista y una estudiosa de las tradiciones populares.\nTomado de: www.cataplumlibros.com/?q=node/27|Cataplúm|Independiente|Los buenos libros son como mansos animales que se desperezan cuando les acariciamos el lomo y nos muestran su panza para invitarnos al juego, mas no dudan en darnos un buen mordisco para hacernos salir de las garras de la cotidianidad. \n\nPara crear estas nobles criaturas, en Cataplum escarbamos como los topos en la memoria colectiva y exploramos en las raíces que nos conectan como latinoamericanos y recuperar así la tradición oral, el juego y sus diversas e inagotables posibilidades. Como los cerdos buscadores de trufas, desarrollamos un fino olfato para conseguir textos de autores de ayer y de hoy. Como los conejos saltamos de aquí para allá, rastreando ilustradores con novedosas propuestas y, como las águilas, hacemos el esfuerzo de ver desde la distancia cómo pueden convivir texto e imagen armoniosamente. \n\nNuestro catálogo, entonces, está concebido como una criatura viva, que empezó pequeñita como las crías de oso, pero con el potencial para alcanzar un gran tamaño y transformarse en una criatura fabulosa, de esas que combinan las mejores cualidades de nobles animales y tienen el poder de encantar. \nTomado de: www.cataplumlibros.com/|Bogotá
